Date,EPV
20160225:1356,437.57
20160225:1456,231.7
20160225:1556,223.94
20160225:1656,32.36
20160225:1756,0
20160225:1856,0
20160225:1956,0
20160225:2056,0
20160225:2156,0
20160225:2256,0
20160225:2356,0
20160226:0056,0
20160226:0156,0
20160226:0256,0
20160226:0356,0
20160226:0456,0
20160226:0556,0
20160226:0656,0
20160226:0756,95.11
20160226:0856,194.33
20160226:0956,336.42
20160226:1056,581.04
20160226:1156,739.53
20160226:1256,593.69
20160226:1356,267.43
20160226:1456,121.43
20160226:1556,80.57
20160226:1656,23.21
20160226:1756,0
20160226:1856,0
20160226:1956,0
20160226:2056,0
20160226:2156,0
20160226:2256,0
20160226:2356,0
20160227:0056,0
20160227:0156,0
20160227:0256,0
20160227:0356,0
20160227:0456,0
20160227:0556,0
20160227:0656,0
20160227:0756,18.7
20160227:0856,235.64
20160227:0956,593.37
20160227:1056,312.73
20160227:1156,129.63
20160227:1256,93.87
20160227:1356,217.07
20160227:1456,149.47
20160227:1556,116.66
20160227:1656,22.55
20160227:1756,0
20160227:1856,0
20160227:1956,0
20160227:2056,0
20160227:2156,0
20160227:2256,0
20160227:2356,0
20160228:0056,0
20160228:0156,0
20160228:0256,0
20160228:0356,0
20160228:0456,0
20160228:0556,0
20160228:0656,0
20160228:0756,120.11
20160228:0856,389.97
20160228:0956,407.07
20160228:1056,604.45
20160228:1156,574.04
20160228:1256,365.66
20160228:1356,202.32
20160228:1456,337.35
20160228:1556,81.16
20160228:1656,32.27
20160228:1756,0
20160228:1856,0
20160228:1956,0
20160228:2056,0
20160228:2156,0
20160228:2256,0
20160228:2356,0
20160229:0056,0
20160229:0156,0
20160229:0256,0
20160229:0356,0
20160229:0456,0
20160229:0556,0
20160229:0656,0
20160229:0756,52.05
20160229:0856,233.32
20160229:0956,540.25
20160229:1056,668.71
20160229:1156,704.35
20160229:1256,583.46
20160229:1356,395.6
20160229:1456,235.86
20160229:1556,28.28
20160229:1656,39.28
20160229:1756,0
20160229:1856,0
20160229:1956,0
20160229:2056,0
20160229:2156,0
20160229:2256,0
20160229:2356,0
20160301:0056,0
